train_logloss,valid_logloss,test_logloss,test_mid_0_logloss,test_mid_1_logloss,test_mid_2_logloss,test_mid_3_logloss,test_mid_4_logloss,test_mid_5_logloss,test_mid_6_logloss,test_mid_7_logloss,test_mid_8_logloss,test_mid_9_logloss
0.0125396,0.0760174,0.228924,0.760677,0.671293,0.646528,0.471067,0.433564,0.361658,0.32079,0.424101,0.467957,0.410202
0.0121389,0.0758363,0.229071,0.762259,0.670752,0.647483,0.47147,0.43234,0.362174,0.319572,0.424838,0.469354,0.409834
0.0117556,0.0757036,0.229832,0.766662,0.673964,0.651304,0.473422,0.432102,0.361556,0.318969,0.424677,0.470416,0.411912
0.0113862,0.0755175,0.229832,0.770063,0.673936,0.654971,0.472671,0.431654,0.361531,0.321295,0.424987,0.470956,0.413496
0.0110218,0.0753761,0.230568,0.775427,0.676108,0.660067,0.475818,0.432029,0.364279,0.320668,0.426859,0.476333,0.414678
0.0106677,0.0752519,0.230704,0.778713,0.676531,0.660023,0.476399,0.432369,0.366357,0.31945,0.427871,0.475522,0.416441
0.0103365,0.0751173,0.2306,0.778737,0.678992,0.659343,0.476768,0.432058,0.366594,0.317574,0.428056,0.480332,0.418736
0.0100019,0.0749668,0.23028,0.784424,0.68333,0.667208,0.477428,0.434352,0.366421,0.320145,0.429524,0.483221,0.4214
0.00969168,0.0748307,0.230196,0.784034,0.682596,0.669159,0.475905,0.433952,0.365912,0.320221,0.430303,0.485181,0.421097
0.00938668,0.074688,0.230851,0.787403,0.683514,0.670944,0.476153,0.433121,0.365734,0.318745,0.43163,0.485005,0.422649
0.00909945,0.0745678,0.231339,0.787544,0.681938,0.670354,0.475909,0.433567,0.366548,0.318509,0.431491,0.486382,0.424338
0.00881055,0.0744745,0.230862,0.788569,0.684677,0.671092,0.475771,0.434316,0.364915,0.316208,0.429711,0.487027,0.423164
0.00852926,0.0743748,0.229913,0.792393,0.686536,0.674015,0.478298,0.435798,0.365837,0.316005,0.430165,0.488644,0.420751
0.00825597,0.0742702,0.229478,0.793679,0.68511,0.674534,0.478192,0.434975,0.365808,0.3167,0.431202,0.489353,0.420417
0.00799669,0.0741862,0.228983,0.79502,0.688837,0.675702,0.478254,0.433916,0.366919,0.314909,0.432998,0.488791,0.421044
0.00775158,0.0740963,0.229464,0.797143,0.692625,0.679305,0.477917,0.433808,0.369888,0.314192,0.434986,0.492008,0.422912
0.00751548,0.0740365,0.229407,0.798622,0.696,0.685146,0.48014,0.436513,0.371632,0.31434,0.437162,0.492627,0.42341
0.00728652,0.0739708,0.2293,0.800336,0.696339,0.683927,0.481401,0.436919,0.370165,0.315352,0.436789,0.494282,0.423977
0.00705242,0.073938,0.229137,0.802941,0.701484,0.6857,0.480056,0.438537,0.370273,0.315769,0.437438,0.494297,0.424152
0.00683154,0.0738572,0.22937,0.803133,0.703616,0.688372,0.48284,0.439747,0.370652,0.316668,0.440104,0.496774,0.425511
0.00662103,0.0738194,0.229337,0.802159,0.70586,0.691816,0.48453,0.438633,0.372011,0.315643,0.440006,0.495984,0.426467
0.00642107,0.0738015,0.229236,0.804406,0.707498,0.691939,0.484944,0.439141,0.369837,0.316451,0.440109,0.494937,0.428153
0.00621529,0.0737626,0.229327,0.809559,0.707261,0.69408,0.486047,0.438719,0.370839,0.316886,0.440435,0.495993,0.427217
