train_logloss,valid_logloss,test_logloss,test_mid_0_logloss,test_mid_1_logloss,test_mid_2_logloss,test_mid_3_logloss,test_mid_4_logloss,test_mid_5_logloss,test_mid_6_logloss,test_mid_7_logloss,test_mid_8_logloss,test_mid_9_logloss
0.048429,0.150293,0.31917,0.716922,0.59437,0.644407,0.473261,0.446214,0.422569,0.37879,0.477315,0.481721,0.47833
0.0474462,0.149768,0.319259,0.716761,0.595883,0.645516,0.473274,0.446213,0.421849,0.378434,0.476703,0.481196,0.480127
0.0465285,0.149263,0.319149,0.718155,0.593223,0.647162,0.473844,0.446296,0.422068,0.379901,0.475719,0.481751,0.480832
0.0454863,0.148677,0.318654,0.718771,0.593865,0.647115,0.474112,0.446925,0.42217,0.37998,0.474424,0.482092,0.480133
0.0446709,0.148211,0.318666,0.721606,0.597569,0.648923,0.474603,0.446857,0.424563,0.379035,0.476298,0.48232,0.482555
0.0437761,0.147716,0.318944,0.723557,0.599358,0.648973,0.476074,0.448401,0.425424,0.378744,0.476913,0.482944,0.48214
0.0429263,0.147212,0.318944,0.724681,0.601311,0.647205,0.476126,0.447612,0.425192,0.378119,0.477203,0.483641,0.483401
0.0421076,0.146759,0.318438,0.72637,0.601497,0.647152,0.476408,0.448568,0.425501,0.37767,0.476908,0.484882,0.482297
0.0412414,0.146334,0.318586,0.732715,0.603869,0.651088,0.478827,0.449788,0.42593,0.377193,0.477601,0.486453,0.483311
0.0403814,0.145877,0.31933,0.733733,0.608574,0.654144,0.481257,0.45126,0.427205,0.378382,0.478725,0.487838,0.484239
0.0395435,0.145427,0.318824,0.733529,0.607846,0.65537,0.480952,0.450993,0.426317,0.378008,0.478866,0.486985,0.483436
0.0388027,0.145031,0.318996,0.735926,0.608611,0.655471,0.480603,0.452062,0.425769,0.377291,0.478999,0.488013,0.483342
0.0381019,0.144672,0.319248,0.739051,0.610308,0.656734,0.481253,0.452712,0.425356,0.378521,0.48005,0.489776,0.483704
0.0373338,0.144315,0.319161,0.739895,0.611209,0.657656,0.481032,0.452069,0.425416,0.378514,0.47993,0.489723,0.483377
0.0366449,0.144004,0.318923,0.741248,0.611989,0.659185,0.480833,0.452583,0.424638,0.379065,0.478994,0.490337,0.484228
0.0359395,0.143608,0.318506,0.740626,0.610303,0.658316,0.481748,0.452425,0.42367,0.379249,0.479454,0.488691,0.484897
